2017-10-14 12:32:00,300 [检测状态线程] INFO  WxTools.Client.ViewModel.MainViewModel - 监测线程启动成功
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:49,824 [检测状态线程] INFO  WxTools.Client.ViewModel.MainViewModel - 新的微信
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:49,828 [1] INFO  WxTools.Client.Dal.OperaDal - 初始化窗体成功
 WxTools.Client.Dal.OperaDalname2017-10-14 12:40:49,841 [1] INFO  WxTools.Client.Dal.OperaDal - 绑定成功
 WxTools.Client.Dal.OperaDalname2017-10-14 12:40:51,848 [检测状态线程] WARN  WxTools.Client.ViewModel.MainViewModel - 微信窗体大小被用户拖动，已经恢复
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:53,851 [检测状态线程] WARN  WxTools.Client.ViewModel.MainViewModel - 微信窗体大小被用户拖动，已经恢复
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:55,853 [检测状态线程] WARN  WxTools.Client.ViewModel.MainViewModel - 微信窗体大小被用户拖动，已经恢复
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:55,853 [检测状态线程] INFO  WxTools.Client.ViewModel.MainViewModel - 新的微信
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:55,859 [1] INFO  WxTools.Client.Dal.OperaDal - 初始化窗体成功
 WxTools.Client.Dal.OperaDalname2017-10-14 12:40:55,878 [1] INFO  WxTools.Client.Dal.OperaDal - 绑定成功
 WxTools.Client.Dal.OperaDalname2017-10-14 12:40:55,879 [检测状态线程] INFO  WxTools.Client.ViewModel.MainViewModel - 新的微信
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:55,888 [1] INFO  WxTools.Client.Dal.OperaDal - 初始化窗体成功
 WxTools.Client.Dal.OperaDalname2017-10-14 12:40:55,911 [1] INFO  WxTools.Client.Dal.OperaDal - 绑定成功
 WxTools.Client.Dal.OperaDalname2017-10-14 12:40:57,917 [检测状态线程] WARN  WxTools.Client.ViewModel.MainViewModel - 微信窗体大小被用户拖动，已经恢复
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:58,158 [检测状态线程] WARN  WxTools.Client.ViewModel.MainViewModel - 微信窗体大小被用户拖动，已经恢复
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:58,160 [检测状态线程] WARN  WxTools.Client.ViewModel.MainViewModel - 微信窗体大小被用户拖动，已经恢复
 WxTools.Client.ViewModel.MainViewModelname2017-10-14 12:40:58,161 [检测状态线程] INFO  WxTools.Client.ViewModel.MainViewModel - 新的微信
